,depth,f1_micro_mean_test,f1_micro_mean_train,f1_micro_std_train,max_feature,min_samples_leaf,min_samples_split,n_estimators,time
71,,0.5438461538461539,0.6469161051496245,0.003868973584647948,12.0,2.0,2.0,900.0,-49.10238299999992
72,,0.5384615384615384,0.6407629582555043,0.007839216986687018,13.0,2.0,2.0,100.0,-3.0814319999999498
73,,0.5384615384615384,0.6426911780722376,0.010898803553091264,13.0,2.0,2.0,300.0,-9.623238000000129
74,,0.5392307692307692,0.6461553870761846,0.011303287585730716,13.0,2.0,2.0,500.0,-14.814761999999973
75,,0.5430769230769231,0.6430727598541627,0.008010958790962783,13.0,2.0,2.0,700.0,-22.20731799999976
76,,0.5423076923076923,0.6455761315724623,0.009608289493968298,13.0,2.0,2.0,800.0,-24.66233599999987
77,,0.536923076923077,0.6424980548605186,0.010562274151864016,13.0,2.0,2.0,900.0,-27.311721000000034
78,,0.5492307692307692,0.6486450976464315,0.0036289099426324157,13.0,2.0,2.0,100.0,-6.008466000000226
79,,0.5538461538461539,0.6446080796412744,0.004971602719654301,13.0,2.0,2.0,300.0,-16.787328999999772
80,,0.5492307692307692,0.650578761789088,0.010515286818088207,13.0,2.0,2.0,500.0,-29.896691999999803
81,,0.5407692307692308,0.6461478338834661,0.0057988787394329284,13.0,2.0,2.0,700.0,-39.46678199999997
82,,0.5438461538461539,0.6494204771209496,0.006203982671299489,13.0,2.0,2.0,800.0,-48.103646000000026
83,,0.5384615384615384,0.6457652537720792,0.007501912196967148,13.0,2.0,2.0,900.0,-53.6191060000001
84,,0.5330769230769231,0.6211298905624446,0.0019717652855734138,2.0,4.0,2.0,100.0,-2.9969670000000406
85,,0.5238461538461539,0.6251812352686293,0.011353097198957312,2.0,4.0,2.0,300.0,-8.844082999999955
86,,0.5269230769230769,0.6232563451403329,0.010259915533770952,2.0,4.0,2.0,500.0,-13.539894000000004
87,,0.5246153846153846,0.6219080463802965,0.009780741577044403,2.0,4.0,2.0,700.0,-19.64646999999968
88,,0.53,0.624018508451157,0.004101190272801382,2.0,4.0,2.0,800.0,-22.45192599999973
89,,0.5276923076923077,0.6232526807518451,0.0071703405701261215,2.0,4.0,2.0,900.0,-24.592401000000336
90,,0.5407692307692308,0.6261311935202482,0.00124638613946427,2.0,4.0,2.0,100.0,-5.155801000000338
91,,0.5315384615384615,0.6265205471399438,0.004532503382558938,2.0,4.0,2.0,300.0,-16.663340000000062
92,,0.5323076923076923,0.6284506571784204,0.009493357706440313,2.0,4.0,2.0,500.0,-26.65493600000036
93,,0.5269230769230769,0.6247917732881891,0.0069605084589600096,2.0,4.0,2.0,700.0,-36.159744000000046
94,,0.53,0.6247889969448553,0.004654815521192612,2.0,4.0,2.0,800.0,-42.51393099999996
95,,0.5330769230769231,0.6269077899692806,0.006455806191599243,2.0,4.0,2.0,900.0,-48.35599299999967
96,,0.5384615384615384,0.6201717174122597,0.005705217834950766,4.0,4.0,2.0,100.0,-3.0748600000001716
97,,0.5215384615384615,0.6222971775078129,0.013081069037123841,4.0,4.0,2.0,300.0,-8.928608000000168
98,,0.5276923076923077,0.6203717263401591,0.011657941660735732,4.0,4.0,2.0,500.0,-14.797716000000037
99,,0.5353846153846153,0.6232526807518451,0.0071703405701261215,4.0,4.0,2.0,700.0,-18.97380000000021
100,,0.5238461538461539,0.6228658809833036,0.005519262832973699,4.0,4.0,2.0,800.0,-22.326759999999922
101,,0.5253846153846153,0.6257564974545035,0.00922061213831977,4.0,4.0,2.0,900.0,-25.31779800000004
102,,0.5253846153846153,0.6255580459718599,0.0045011138213317745,4.0,4.0,2.0,100.0,-5.302494000000024
103,,0.536923076923077,0.6286347838836001,0.003324044899077111,4.0,4.0,2.0,300.0,-16.28115300000036
104,,0.5323076923076923,0.627292589231771,0.00670890149107241,4.0,4.0,2.0,500.0,-28.260706000000027
105,,0.5284615384615384,0.6282545370547515,0.006357387191327722,4.0,4.0,2.0,700.0,-39.991348000000016
106,,0.5338461538461539,0.6271004662730774,0.006978879469716214,4.0,4.0,2.0,800.0,-43.0197560000006
107,,0.5284615384615384,0.6278669614489276,0.00404336108450767,4.0,4.0,2.0,900.0,-49.359615000000304
108,,0.5230769230769231,0.6238283879220781,0.007691323846572875,6.0,4.0,2.0,100.0,-2.7901560000000245
109,,0.5261538461538462,0.6232525704675371,0.007099706896661791,6.0,4.0,2.0,300.0,-8.57184799999959
110,,0.5238461538461539,0.6219077116802456,0.009023465492541639,6.0,4.0,2.0,500.0,-13.84540300000026
111,,0.5315384615384615,0.6220999487703742,0.010163522867957795,6.0,4.0,2.0,700.0,-19.30497699999978
112,,0.5284615384615384,0.6220990588016567,0.008687699536882858,6.0,4.0,2.0,800.0,-22.788274999999885
113,,0.5284615384615384,0.620562295700724,0.010157016899090373,6.0,4.0,2.0,900.0,-26.043432000000394
114,,0.53,0.6219028226229895,0.004919941131393992,6.0,4.0,2.0,100.0,-5.531554000000142
115,,0.5307692307692308,0.6270996885122312,0.006528484588456428,6.0,4.0,2.0,300.0,-17.64808600000015
116,,0.5353846153846153,0.6255618187210922,0.007334483533960193,6.0,4.0,2.0,500.0,-26.850303000000167
117,,0.5376923076923077,0.6319133106606749,0.008717242641346924,6.0,4.0,2.0,700.0,-38.3348849999993
118,,0.536923076923077,0.6288313509151912,0.005935197604577683,6.0,4.0,2.0,800.0,-41.13901199999964
119,,0.53,0.6278666286724403,0.003850326880202389,6.0,4.0,2.0,900.0,-47.53936199999953
120,,0.52,0.6236335892865412,0.0075456327086713395,8.0,4.0,2.0,100.0,-2.4160510000001523
121,,0.53,0.6201702760220025,0.004044818651607483,8.0,4.0,2.0,300.0,-6.793521999999939
122,,0.5269230769230769,0.622867326220688,0.006900662584739503,8.0,4.0,2.0,500.0,-14.553216000000248
123,,0.5323076923076923,0.6234464714401023,0.008588586118411765,8.0,4.0,2.0,700.0,-19.97943000000032
124,,0.53,0.6203656203083886,0.006649705798851823,8.0,4.0,2.0,800.0,-23.88515500000085
125,,0.5223076923076924,0.6228678795657911,0.007213837669447876,8.0,4.0,2.0,900.0,-25.626116999999795
126,,0.5307692307692308,0.6276711760253096,0.002890369310882385,8.0,4.0,2.0,100.0,-5.737014000000272
127,,0.5307692307692308,0.6284481014037026,0.007889468486811274,8.0,4.0,2.0,300.0,-15.437627999999677
128,,0.5353846153846153,0.6267152220262281,0.006428295729245455,8.0,4.0,2.0,500.0,-26.394002
129,,0.54,0.6247907730351635,0.006242621274984212,8.0,4.0,2.0,700.0,-38.12881899999957
130,,0.5315384615384615,0.6290210322306018,0.004059964260399612,8.0,4.0,2.0,800.0,-42.18139599999995
131,,0.53,0.6270999129279741,0.006204756562974525,8.0,4.0,2.0,900.0,-50.94860499999959
132,,0.5307692307692308,0.6251738000544728,0.004879331762302881,10.0,4.0,2.0,100.0,-2.6576610000001892
133,,0.5292307692307693,0.6249873419903181,0.01017701489574735,10.0,4.0,2.0,300.0,-7.101227999999537
134,,0.536923076923077,0.620561187086954,0.009653518250590474,10.0,4.0,2.0,500.0,-12.197531999999228
135,,0.5323076923076923,0.6259460684856063,0.007531110378458208,10.0,4.0,2.0,700.0,-19.943866000000526
136,,0.5276923076923077,0.6222918434661978,0.008310993372674566,10.0,4.0,2.0,800.0,-21.706052999999883
